Date,Hour,Song Name
2024-01-01,0,Happier Than Ever - Billie Eilish
2024-01-01,0,Seventeen Going Under - Sam Fender
2024-01-01,0,Roslyn - Bon Iver & St. Vincent
2024-01-01,0,Rolling in the Deep - Adele
2024-01-01,0,Retrograde - James Blake
2024-01-01,1,Kyoto - Phoebe Bridgers
2024-01-01,1,Happier Than Ever - Billie Eilish
2024-01-01,1,Drivers License - Olivia Rodrigo
2024-01-01,1,Seventeen Going Under - Sam Fender
2024-01-01,1,Bad Guy - Billie Eilish
2024-01-01,1,Happier Than Ever - Billie Eilish
2024-01-01,1,The Less I Know the Better - Tame Impala
2024-01-01,2,Blinding Lights - The Weeknd
2024-01-01,2,First Love / Late Spring - Mitski
2024-01-01,2,Happier Than Ever - Billie Eilish
2024-01-01,2,Blinding Lights - The Weeknd
2024-01-01,3,Peaches - Justin Bieber
2024-01-01,3,Happier Than Ever - Billie Eilish
2024-01-01,3,The Less I Know the Better - Tame Impala
2024-01-01,3,Happier Than Ever - Billie Eilish
2024-01-01,3,Mr. Brightside - The Killers
2024-01-01,3,Kyoto - Phoebe Bridgers
2024-01-01,3,Blinding Lights - The Weeknd
2024-01-01,4,Retrograde - James Blake
2024-01-01,4,Seventeen Going Under - Sam Fender
2024-01-01,4,Seventeen Going Under - Sam Fender
2024-01-01,5,Mr. Brightside - The Killers
2024-01-01,5,Happier Than Ever - Billie Eilish
2024-01-01,5,Rolling in the Deep - Adele
2024-01-01,5,Motion Sickness - Phoebe Bridgers
2024-01-01,5,Angel - The 1975
2024-01-01,5,Somebody That I Used to Know - Gotye
2024-01-01,5,Angel - The 1975
2024-01-01,5,Peaches - Justin Bieber
2024-01-01,5,Somebody That I Used to Know - Gotye
2024-01-01,6,Bohemian Rhapsody - Queen
2024-01-01,6,Roslyn - Bon Iver & St. Vincent
2024-01-01,6,Bad Guy - Billie Eilish
2024-01-01,6,Happier Than Ever - Billie Eilish
2024-01-01,6,Retrograde - James Blake
2024-01-01,7,Rolling in the Deep - Adele
2024-01-01,7,Kyoto - Phoebe Bridgers
2024-01-01,7,The Less I Know the Better - Tame Impala
2024-01-01,8,Angel - The 1975
2024-01-01,8,Happier Than Ever - Billie Eilish
2024-01-01,8,Motion Sickness - Phoebe Bridgers
2024-01-01,8,Seventeen Going Under - Sam Fender
2024-01-01,8,Mr. Brightside - The Killers
2024-01-01,8,Happier Than Ever - Billie Eilish
2024-01-01,8,The Less I Know the Better - Tame Impala
2024-01-01,8,Sinking Feeling - Weyes Blood
2024-01-01,9,First Love / Late Spring - Mitski
2024-01-01,9,Mr. Brightside - The Killers
2024-01-01,9,Happier Than Ever - Billie Eilish
2024-01-01,9,Motion Sickness - Phoebe Bridgers
2024-01-01,9,Bad Guy - Billie Eilish
2024-01-01,9,Drivers License - Olivia Rodrigo
2024-01-01,9,Retrograde - James Blake
2024-01-01,10,Blinding Lights - The Weeknd
2024-01-01,10,Bohemian Rhapsody - Queen
2024-01-01,10,Somebody That I Used to Know - Gotye
2024-01-01,10,Happier Than Ever - Billie Eilish
2024-01-01,11,Blinding Lights - The Weeknd
2024-01-01,11,First Love / Late Spring - Mitski
2024-01-01,11,Somebody That I Used to Know - Gotye
2024-01-01,12,Angel - The 1975
2024-01-01,12,Bad Guy - Billie Eilish
2024-01-01,12,The Less I Know the Better - Tame Impala
2024-01-01,13,Retrograde - James Blake
2024-01-01,13,Levitating - Dua Lipa
2024-01-01,13,Retrograde - James Blake
